epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
81,883.666,1.01283,0.72886,1.33894,0.01123,0.84229,0.94706,0.91559,0.65427,0.99212,0.6534,1.49465,0.00546,0.00208,0.00208,0.00208
82,893.175,1.00898,0.73257,1.3661,0.01236,0.86067,0.92941,0.92793,0.6717,0.97779,0.65367,1.46746,0.00487,0.001981,0.001981,0.001981
83,902.729,1.0203,0.75576,1.37224,0.0124,0.86941,0.93529,0.92358,0.67019,1.0008,0.65778,1.49656,0.00701,0.001882,0.001882,0.001882
84,912.191,1.00892,0.75606,1.36682,0.01285,0.87267,0.92723,0.92651,0.65643,1.05373,0.64997,1.50732,0.01001,0.001783,0.001783,0.001783
85,921.659,1.03881,0.76393,1.33034,0.01226,0.84431,0.93529,0.91789,0.65639,1.0037,0.65698,1.50971,0.00562,0.001684,0.001684,0.001684
86,931.074,1.01703,0.74319,1.33894,0.01319,0.87176,0.91971,0.93529,0.67067,0.99396,0.62995,1.51927,0.00783,0.001585,0.001585,0.001585
87,940.623,1.01238,0.74666,1.35401,0.01124,0.85555,0.94118,0.92688,0.66545,0.9777,0.63733,1.47987,0.00411,0.001486,0.001486,0.001486
88,950.02,0.98853,0.71755,1.34576,0.01102,0.85929,0.94706,0.93497,0.67854,0.95018,0.61396,1.47573,0.00503,0.001387,0.001387,0.001387
89,959.552,0.98616,0.7407,1.33665,0.01123,0.87322,0.9319,0.926,0.66604,0.96737,0.63406,1.48108,0.00611,0.001288,0.001288,0.001288
90,968.891,0.95993,0.71544,1.31789,0.0102,0.83924,0.94706,0.92266,0.6654,0.98867,0.63365,1.48303,0.00493,0.001189,0.001189,0.001189
91,1005.88,0.84808,0.60653,1.33278,0.00698,0.85527,0.93858,0.92546,0.67493,0.99137,0.62791,1.48622,0.00547,0.00109,0.00109,0.00109
92,1015.39,0.8535,0.5857,1.32983,0.00731,0.84835,0.95428,0.93619,0.67982,0.96763,0.61213,1.47955,0.00458,0.000991,0.000991,0.000991
93,1024.94,0.83447,0.57627,1.30653,0.00704,0.86937,0.93959,0.92957,0.67128,0.98043,0.62195,1.47808,0.00756,0.000892,0.000892,0.000892
94,1034.4,0.82916,0.5724,1.30791,0.00641,0.87003,0.94505,0.93398,0.68094,0.95419,0.60981,1.48627,0.00436,0.000793,0.000793,0.000793
95,1043.79,0.82738,0.56131,1.33806,0.00692,0.85854,0.95294,0.93371,0.68292,0.96347,0.60683,1.49318,0.00494,0.000694,0.000694,0.000694
96,1053.26,0.83696,0.56347,1.32211,0.00585,0.8386,0.94749,0.93296,0.68258,0.95222,0.6075,1.47964,0.00384,0.000595,0.000595,0.000595
97,1062.54,0.82203,0.55385,1.32481,0.00586,0.85086,0.94706,0.92981,0.68185,0.9523,0.6043,1.48029,0.00479,0.000496,0.000496,0.000496
98,1071.94,0.80202,0.55864,1.30841,0.00633,0.84721,0.94706,0.92804,0.67992,0.95559,0.61308,1.48801,0.0046,0.000397,0.000397,0.000397
99,1081.26,0.81103,0.55438,1.30393,0.00601,0.85395,0.95294,0.93159,0.68644,0.93981,0.60222,1.47898,0.00362,0.000298,0.000298,0.000298
100,1090.75,0.80083,0.55082,1.29363,0.00644,0.86765,0.95294,0.93521,0.69083,0.93318,0.59328,1.4809,0.00353,0.000199,0.000199,0.000199
